X,Y,Class,Drink,Rank,Amount,Quantity,Index
13.583142,-27.384836,A,Coke,8,199.34283060224652,606,0
13.889097,-29.342224,A,Coke,8,72.34713976576307,571,1
9.699276,-31.544512,A,Coke,8,-122.37602360938408,966,2
12.077942,-27.87699,A,Coke,8,163.7804369378767,714,3
12.14242,-24.9112,A,Coke,8,415.8425631014783,649,4
9.64871,-26.263454,A,Coke,8,253.48694583058176,808,5
11.337137,-30.658546,A,Coke,8,-16.175626804702986,776,6
12.933993,-30.51973,A,Coke,8,-5.03396143562955,660,7
11.7363,-28.218687,A,Coke,8,148.39245431320683,735,8
11.167235,-32.310528,A,Coke,8,-282.65604893155955,844,9
12.681879,-26.334648,A,Coke,8,263.28901619026544,669,10
9.88387,-31.85183,A,Coke,8,-204.7751995231722,975,11
9.027683,-28.065683,A,Coke,8,144.4157803129486,863,12
13.6040945,-31.296347,A,Coke,8,-53.59530038861544,554,13
8.102634,-28.755777,A,Coke,8,95.10896450118685,984,14
10.115183,-27.77847,A,Coke,8,171.11026342448645,806,15
11.3930645,-30.556704,A,Coke,8,-5.024570226001828,773,16
8.845592,-24.895863,A,Coke,8,482.5542542718414,887,17
11.34337,-28.845613,A,Coke,8,119.02515686342728,764,18
9.136691,-26.593676,A,Coke,8,232.9308685499704,845,19
8.9432955,-27.874582,A,Coke,8,158.20680025243644,866,20
9.557435,-31.002693,A,Coke,8,-27.111948054927865,943,21
8.376248,-28.732567,A,Coke,8,97.30055505241322,930,22
13.495301,-31.720734,A,Coke,8,-111.54218579118006,534,23
10.059827,-29.956951,A,Coke,8,54.1099092336087,859,24
8.624715,-27.60421,A,Coke,8,177.86978265122465,887,25
13.733678,-28.267433,A,Coke,8,141.77271900095107,605,26
11.9325075,-32.421017,A,Coke,8,-291.9340247759551,759,27
10.396503,-28.262003,A,Coke,8,143.7276632107725,803,28
10.241078,-25.950554,A,Coke,8,276.3522077897221,770,29
12.322355,-29.528511,A,Coke,8,76.8703435223519,707,30
11.907013,-30.052038,A,Coke,8,39.77926088214224,736,31
8.416821,-26.442858,A,Coke,8,254.74008336673637,909,32
12.184835,-30.561302,A,Coke,8,-7.6283323325919525,716,33
14.167019,-27.873379,A,Coke,8,168.72365791369228,540,34
12.616635,-32.33908,A,Coke,8,-252.6080310725468,656,35
13.014041,-27.03326,A,Coke,8,216.42455894260783,662,36
8.37873,-26.169577,A,Coke,8,277.54969191867144,918,37
13.16114,-31.179016,A,Coke,8,-67.84350464452771,634,38
12.417514,-30.032118,A,Coke,8,38.15752482975709,700,39
13.154947,-32.130646,A,Coke,8,-201.63065790949656,547,40
8.538485,-25.731382,A,Coke,8,319.9293951569641,906,41
12.109072,-25.187384,A,Coke,8,342.43446842662513,671,42
8.958234,-25.460386,A,Coke,8,346.6993609086114,859,43
11.88513,-27.457218,A,Coke,8,191.57701540000303,726,44
12.8888035,-32.267014,A,Coke,8,-236.85747567317628,600,45
9.920236,-31.307087,A,Coke,8,-86.75256818240999,897,46
8.956713,-26.326702,A,Coke,8,256.8416375307877,858,47
12.774884,-29.586195,A,Coke,8,69.89322834804346,678,48
13.471847,-31.567326,A,Coke,8,-93.11153437899495,562,49
13.749339,-29.149063,A,Coke,8,88.03654726766617,595,50
8.649018,-25.982288,A,Coke,8,292.234753283671,887,51
11.89574,-29.838625,A,Coke,8,56.06562243249761,736,52
13.340856,-27.700493,A,Coke,8,171.42251430234927,642,53
12.934051,-31.04138,A,Coke,8,-57.851665739584035,659,54
9.388866,-26.35337,A,Coke,8,248.74225675424535,826,55
13.543542,-31.329369,A,Coke,8,-61.698720578637534,565,56
12.816249,-30.467573,A,Coke,8,-0.351408716907315,669,57
13.359965,-27.291918,A,Coke,8,200.28966630496103,633,58
10.03649,-25.48912,A,Coke,8,331.63733058640554,783,59
11.205923,-30.569613,A,Coke,8,-5.952040753407758,785,60
8.100575,-27.367756,A,Coke,8,202.6534866226712,945,61
9.073572,-25.267479,A,Coke,8,374.3724267099553,847,62
8.0298395,-28.352655,A,Coke,8,135.11065879096654,972,63
10.066533,-30.962744,A,Coke,8,-40.41061877547048,876,64
11.258106,-30.160156,A,Coke,8,34.46757068044636,782,65
11.317975,-25.210611,A,Coke,8,354.7467240279112,732,66
11.591474,-30.049828,A,Coke,8,41.609465834875984,758,67
13.408774,-29.047895,A,Coke,8,101.02269132849217,636,68
10.747433,-29.981653,A,Coke,8,53.08257332497062,817,69
12.811591,-30.212105,A,Coke,8,20.896709683941353,671,70
13.115411,-29.926226,A,Coke,8,42.172628706011594,651,71
13.705997,-29.471308,A,Coke,8,67.74285766679817,595,72
7.9434123,-27.784763,A,Coke,8,180.81017136290768,971,73
9.539208,-31.440521,A,Coke,8,-88.61136169345247,996,74
8.502028,-25.285719,A,Coke,8,380.7917477318587,941,75
12.732116,-32.372887,A,Coke,8,-283.7542430598083,612,76
8.327845,-28.760288,A,Coke,8,94.69722491015662,939,77
13.51643,-28.688091,A,Coke,8,120.46953650993336,629,78
12.143366,-30.347672,A,Coke,8,13.478143890397348,719,79
13.394755,-29.637793,A,Coke,8,61.527807043775496,629,80
14.09736,-27.959352,A,Coke,8,160.30946846672248,552,81
8.345879,-27.806528,A,Coke,8,167.96419283732877,915,82
11.679503,-29.222248,A,Coke,8,98.5239700110854,746,83
12.379419,-25.218477,A,Coke,8,328.5645629030041,622,84
8.489977,-26.485786,A,Coke,8,250.38660653735482,900,85
10.108112,-31.098167,A,Coke,8,-60.36556866993877,871,86
12.322283,-24.993114,A,Coke,8,376.80314378653566,597,87
11.584537,-27.080725,A,Coke,8,217.37141876005404,739,88
12.090546,-24.64889,A,Coke,8,538.0911251619957,643,89
10.668582,-30.546072,A,Coke,8,1.313503559334677,825,90
8.100807,-26.123077,A,Coke,8,284.6325216683906,963,91
8.222478,-28.470984,A,Coke,8,119.93027301752824,942,92
9.599553,-30.700148,A,Coke,8,-0.6951308232398361,919,93
13.287811,-29.057798,A,Coke,8,101.82886914802748,646,94
13.143123,-30.125208,A,Coke,8,26.89214063349145,647,95
9.85711,-31.464132,A,Coke,8,-112.46074274522098,916,96
8.26058,-27.428535,A,Coke,8,194.71848612703633,923,97
13.303321,-27.021257,A,Coke,8,224.10964319234705,628,98
11.448491,-29.710852,A,Coke,8,67.81252462738732,766,99
16.019878,-18.348845,B,Pepsi,7,192.16746707663762,650,100
3.006358,-20.894331,B,Pepsi,7,196.77938483794324,914,101
10.687576,-18.017254,B,Pepsi,7,196.43254974231806,751,102
16.44896,-18.790495,B,Pepsi,7,205.56121798533965,643,103
20.487455,-18.715565,B,Pepsi,7,202.2745993460413,559,104
5.021598,-19.456648,B,Pepsi,7,213.07142754282427,868,105
16.753967,-18.366236,B,Pepsi,7,196.75509042171106,639,106
1.5254804,-21.31595,B,Pepsi,7,197.94133282904494,952,107
21.966084,-18.818678,B,Pepsi,7,202.59882794248423,508,108
11.53012,-18.34063,B,Pepsi,7,207.8182287177731,732,109
17.196768,-19.035244,B,Pepsi,7,212.99396814264486,630,110
3.59572,-20.95552,B,Pepsi,7,191.32853843950446,903,111
3.1854763,-20.422104,B,Pepsi,7,202.50492850345876,907,112
17.984179,-18.757517,B,Pepsi,7,203.46448209496975,615,113
11.79084,-18.080427,B,Pepsi,7,202.26288269498875,726,114
18.157784,-19.033838,B,Pepsi,7,208.47401432576638,611,115
6.0635586,-19.497995,B,Pepsi,7,202.93072473298682,848,116
3.6495175,-20.80215,B,Pepsi,7,192.85648581973632,901,117
8.07007,-18.759611,B,Pepsi,7,201.74833011991473,809,118
15.5062275,-17.976942,B,Pepsi,7,187.8314510764076,662,119
15.600013,-18.080967,B,Pepsi,7,188.08696502797352,660,120
20.183168,-18.875484,B,Pepsi,7,206.56553608633828,567,121
